iter	F1	Logloss
0	0.9696576662	0.6276233639
1	0.969714836	0.5700834371
2	0.969714836	0.5211201245
3	0.969714836	0.4798795343
4	0.969714836	0.4444346554
5	0.969714836	0.4133078107
6	0.969714836	0.387340971
7	0.9697338941	0.3638285944
8	0.969714836	0.3449568919
9	0.969714836	0.3282425302
10	0.969714836	0.3139661662
11	0.9697338941	0.3015841993
12	0.9697338941	0.2908972752
13	0.9697338941	0.281829288
14	0.969752953	0.2701689678
15	0.969714836	0.2606713341
16	0.969714836	0.2517484622
17	0.9697338941	0.2446181963
18	0.9697338941	0.2379088226
19	0.9697338941	0.232116017
20	0.969714836	0.2279166493
21	0.969714836	0.2238902242
22	0.9697338941	0.2203801125
23	0.9696945875	0.2153799933
24	0.9696945875	0.2121175146
25	0.9697136456	0.2081677356
26	0.9697136456	0.2047080631
27	0.9697136456	0.2016445663
28	0.9697136456	0.1989239932
29	0.9697136456	0.1965474055
30	0.9697327044	0.1944862868
31	0.969751764	0.1926353628
32	0.9697708243	0.1910181395
33	0.9697708243	0.1895307396
34	0.9697708243	0.1882081429
35	0.9697505749	0.1866336477
36	0.9697505749	0.1855971094
37	0.9697505749	0.1846333616
38	0.969769636	0.1838330199
39	0.9697505749	0.1834311634
40	0.9697505749	0.1829389335
41	0.969769636	0.1827003155
42	0.9697446281	0.1823902294
43	0.9697446281	0.1812963416
44	0.9697446281	0.1809319234
45	0.9697446281	0.1806028388
46	0.9697815701	0.1803585212
47	0.9697815701	0.1795397211
48	0.9698149568	0.178778848
49	0.9699449253	0.1785317365
50	0.9699330972	0.1778842214
51	0.96997127	0.1776580642
52	0.9702136037	0.1771862483
53	0.9702315325	0.1768817314
54	0.9702303603	0.1766885609
55	0.9708045025	0.1764016456
56	0.9711500513	0.1759339275
57	0.971012778	0.1757962998
58	0.970975629	0.1756609445
59	0.9709350475	0.1754908516
60	0.9708967584	0.1753527769
61	0.9711997475	0.1748705678
62	0.9715786771	0.17452092
63	0.9714556624	0.1743768104
64	0.9717188087	0.1742418276
65	0.9717313091	0.1741027471
66	0.9721216438	0.1737250672
67	0.9719496756	0.1736199419
68	0.9722667617	0.1734323033
69	0.9721919842	0.1732251447
70	0.9722332251	0.1730383815
71	0.9721892085	0.1729406322
72	0.9721451779	0.1726251445
73	0.9721655407	0.1724910744
74	0.972148988	0.1723876255
75	0.9720641592	0.1723591276
76	0.9721886336	0.1721259671
77	0.972080111	0.1719843348
78	0.9719974615	0.17174242
79	0.9720260297	0.1715381483
80	0.9721505931	0.1712189355
81	0.9720634921	0.1711461823
82	0.9720838872	0.1710760739
83	0.9721621461	0.1709258364
84	0.9721632507	0.1708414046
85	0.9722156069	0.1707798828
86	0.9722337997	0.1705990986
87	0.9722679901	0.170387805
88	0.9722089884	0.1700272052
89	0.9721648666	0.1698453779
90	0.9722420777	0.1695779827
91	0.9722762839	0.1695293315
92	0.9723364115	0.1694619426
93	0.9723557215	0.1694185625
94	0.9723149031	0.1692122421
95	0.9723535253	0.1690842626
96	0.9723965367	0.1689055646
97	0.9723557215	0.1688550508
98	0.9723684472	0.1686455639
99	0.972504768	0.1683915421
100	0.9725831446	0.1681564258
101	0.9727012636	0.1679194097
102	0.9726217913	0.1677419223
103	0.9726969239	0.1676850384
104	0.9726754238	0.1676103108
105	0.9726743377	0.1675206637
106	0.9726743377	0.1675003986
107	0.9726076412	0.1674374799
108	0.9727484148	0.1672151969
109	0.9726452229	0.1669697431
110	0.9725828578	0.1667902441
111	0.9726011055	0.1665807014
112	0.9725806772	0.1665653163
113	0.9726634724	0.1663802667
114	0.9725409103	0.1663187822
115	0.9725613393	0.1663061351
116	0.9725795868	0.1661545938
117	0.9725989262	0.1661177701
118	0.9726386956	0.1660480902
119	0.9726945489	0.1658345987
120	0.9727762642	0.1656435329
121	0.9728310593	0.1655277535
122	0.9727310699	0.1654386466
123	0.9727310699	0.1654191824
124	0.9727106373	0.1653994016
125	0.972667595	0.1653113377
126	0.9726880309	0.1652226406
127	0.9727493337	0.1650937671
128	0.9728095475	0.1650549691
129	0.9727697663	0.1650343687
130	0.9728278167	0.1649841344
131	0.9727697663	0.1649058864
132	0.9728504087	0.1647229602
133	0.9728063021	0.1646266451
134	0.9727847849	0.1645262135
135	0.9727621814	0.1643574245
136	0.9727213036	0.1642878377
137	0.9727213036	0.1642769228
138	0.9727213036	0.1642631954
139	0.9728622021	0.1640837709
140	0.972920273	0.1640749608
141	0.9730009351	0.1639847922
142	0.9730009351	0.1639780123
143	0.9731181726	0.1637747093
144	0.9730783771	0.1636560801
145	0.9730568711	0.1636078574
146	0.9731741294	0.163571518
147	0.9731504886	0.1634524604
148	0.9731698579	0.1633515446
149	0.9731494198	0.1633414493
150	0.9731106821	0.1632686588
151	0.9731106821	0.1632614319
152	0.9731096117	0.1631792166
153	0.9730848861	0.16303222
154	0.9730999741	0.1628812934
155	0.9731193501	0.1628436129
156	0.9731602421	0.1627859467
157	0.9732205077	0.1626803931
158	0.9733850901	0.1625854748
159	0.9733614717	0.1623814267
160	0.9733614717	0.1623740694
161	0.9734055259	0.162296995
162	0.9734280767	0.1622049451
163	0.9734087019	0.1621217799
164	0.9734087019	0.1621168068
165	0.9734087019	0.1620837083
166	0.9734087019	0.1620795361
167	0.9734527363	0.1620107502
168	0.9734893719	0.1618900722
169	0.9735076929	0.1618427807
170	0.973469997	0.1617880388
171	0.973469997	0.1617827118
172	0.9734893719	0.161776323
173	0.9734883165	0.1616236455
174	0.9734883165	0.1614058514
175	0.9735076929	0.1614008596
176	0.9736250174	0.1612640142
177	0.9736250174	0.1611021913
178	0.9736443984	0.1610976466
179	0.9736443984	0.1610973485
180	0.9736443984	0.1609919997
181	0.9736842105	0.1608654918
182	0.9736842105	0.1608649889
183	0.9736842105	0.1608596246
184	0.9736239674	0.1607605155
185	0.9736800191	0.1606747799
186	0.9736831628	0.1606337468
187	0.9736271173	0.1605977054
188	0.9736066879	0.1605656687
189	0.9735873092	0.1605614964
190	0.9735873092	0.1605594476
191	0.9736066879	0.1604486413
192	0.9736454477	0.1604304623
193	0.9736648287	0.1602998753
194	0.9736454477	0.1602131898
195	0.9736842105	0.1601606271
196	0.97370464	0.1601120132
197	0.9737261146	0.1600694713
198	0.9737465417	0.1600181008
199	0.9737873933	0.159990944
200	0.9737853062	0.1599462229
201	0.9737638347	0.1599351032
202	0.973743406	0.1599037929
203	0.973743406	0.1599005706
204	0.9737229765	0.1598136615
205	0.9737219302	0.1597744537
206	0.9737219302	0.1597669661
207	0.97370464	0.1597362518
208	0.9737229765	0.1596673913
209	0.9737035931	0.1596646161
210	0.9737229765	0.1596499015
211	0.9737229765	0.159612575
212	0.9737607008	0.1595784148
213	0.9737638347	0.1595165764
214	0.9737832189	0.159419926
215	0.9738649257	0.1593638058
216	0.9738251159	0.1593598198
217	0.9738251159	0.1593033643
218	0.9738240739	0.1592676955
