iter	Passed	Remaining
0	48	48853
1	83	41711
2	116	38772
3	145	36225
4	169	33814
5	213	35408
6	253	36015
7	294	36489
8	362	39872
9	373	36928
10	390	35103
11	435	35862
12	501	38112
13	536	37759
14	608	39962
15	661	40678
16	745	43110
17	797	43482
18	831	42932
19	914	44820
20	976	45528
21	1038	46186
22	1122	47697
23	1171	47637
24	1260	49160
25	1337	50123
26	1424	51320
27	1483	51493
28	1520	50912
29	1572	50835
30	1666	52081
31	1702	51510
32	1763	51686
33	1835	52138
34	1914	52780
35	1973	52845
36	2032	52907
37	2104	53283
38	2186	53876
39	2230	53540
40	2330	54520
41	2421	55228
42	2499	55637
43	2560	55636
44	2642	56089
45	2721	56442
46	2843	57654
47	2916	57838
48	3020	58617
49	3087	58668
50	3170	58987
51	3232	58932
52	3288	58752
53	3348	58662
54	3429	58921
55	3523	59397
56	3588	59369
57	3709	60244
58	3792	60484
59	3831	60034
60	3952	60835
61	4018	60799
62	4136	61521
63	4187	61239
64	4272	61460
65	4333	61326
66	4393	61176
67	4443	60896
68	4513	60902
69	4621	61401
70	4683	61279
71	4776	61566
72	4850	61597
73	4929	61680
74	5025	61976
75	5060	61522
76	5124	61426
77	5205	61533
78	5250	61211
79	5290	60842
80	5406	61337
81	5465	61187
82	5570	61548
83	5676	61905
84	5736	61751
85	5821	61866
86	5954	62483
87	6026	62456
88	6079	62229
89	6124	61927
90	6191	61845
91	6229	61481
92	6308	61529
93	6323	60948
94	6400	60972
95	6475	60973
96	6563	61096
97	6604	60792
98	6681	60808
99	6724	60523
100	6806	60583
101	6887	60634
102	6920	60266
103	6975	60096
104	7053	60126
105	7131	60150
106	7222	60281
107	7339	60619
108	7400	60492
109	7502	60705
110	7548	60458
111	7601	60271
112	7691	60374
113	7775	60432
114	7882	60663
115	7918	60343
116	8029	60599
117	8083	60423
118	8125	60158
119	8197	60115
120	8239	59852
121	8326	59921
122	8431	60115
123	8482	59926
124	8603	60224
125	8672	60156
126	8755	60186
127	8791	59893
128	8843	59709
129	8879	59427
130	8937	59286
131	9044	59473
132	9097	59303
133	9208	59514
134	9325	59751
135	9382	59606
136	9417	59326
137	9491	59285
138	9560	59219
139	9651	59285
140	9692	59050
141	9774	59060
142	9847	59018
143	9900	58852
144	9942	58628
145	10034	58693
146	10124	58750
147	10184	58631
148	10260	58603
149	10324	58503
150	10367	58290
151	10413	58093
152	10512	58198
153	10569	58061
154	10623	57913
155	10704	57913
156	10785	57913
157	10857	57860
158	10953	57934
159	11058	58055
160	11116	57931
161	11171	57790
162	11250	57769
163	11332	57765
164	11384	57610
165	11476	57658
166	11530	57514
167	11609	57492
168	11710	57581
169	11772	57477
170	11820	57304
171	11859	57088
172	11953	57140
173	12048	57195
174	12137	57219
175	12184	57044
176	12279	57094
177	12372	57135
178	12460	57152
179	12501	56950
180	12561	56838
181	12650	56858
182	12757	56957
183	12814	56830
184	12889	56784
185	12971	56768
186	13097	56943
187	13138	56746
188	13185	56578
189	13217	56346
190	13301	56339
191	13388	56345
192	13478	56358
193	13584	56439
194	13637	56296
195	13704	56214
196	13794	56226
197	13876	56206
198	13975	56254
199	14036	56144
200	14103	56064
201	14159	55936
202	14206	55777
203	14297	55788
204	14352	55659
205	14392	55475
206	14519	55622
207	14563	55454
208	14600	55260
